"","Metric","Units","Amount","startDate","endDate"
"1","Cash and Due from Banks","usd","26206000000",NA,"2009-12-31"
"2","Cash and Due from Banks","usd","27567000000",NA,"2010-12-31"
"3","Cash and Due from Banks","usd","59602000000",NA,"2011-12-31"
"4","Cash and Due from Banks","usd","53723000000",NA,"2012-12-31"
"5","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","85279000000",NA,"2011-12-31"
"6","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","121814000000",NA,"2012-12-31"
"7","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","235314000000",NA,"2011-12-31"
"8","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","296296000000",NA,"2012-12-31"
"9","Securities Borrowed","usd","142462000000",NA,"2011-12-31"
"10","Securities Borrowed","usd","119017000000",NA,"2012-12-31"
"11","Trading Assets","usd","443963000000",NA,"2011-12-31"
"12","Trading Assets","usd","450028000000",NA,"2012-12-31"
"13","Available-for-sale Securities and Held-to-maturity Securities","usd","364793000000",NA,"2011-12-31"
"14","Available-for-sale Securities and Held-to-maturity Securities","usd","371152000000",NA,"2012-12-31"
"15","Loans and Leases Receivable, Net of Deferred Income","usd","723720000000",NA,"2011-12-31"
"16","Loans and Leases Receivable, Net of Deferred Income","usd","733796000000",NA,"2012-12-31"
"17","Loans and Leases Receivable, Allowance","usd","27609000000",NA,"2011-12-31"
"18","Loans and Leases Receivable, Allowance","usd","21936000000",NA,"2012-12-31"
"19","Loans and Leases Receivable, Net Amount","usd","696111000000",NA,"2011-12-31"
"20","Loans and Leases Receivable, Net Amount","usd","711860000000",NA,"2012-12-31"
"21","Accrued Interest and Accounts Receivable","usd","61478000000",NA,"2011-12-31"
"22","Accrued Interest and Accounts Receivable","usd","60933000000",NA,"2012-12-31"
"23","Property, Plant and Equipment, Net","usd","14041000000",NA,"2011-12-31"
"24","Property, Plant and Equipment, Net","usd","14519000000",NA,"2012-12-31"
"25","Goodwill","usd","48357000000",NA,"2009-12-31"
"26","Goodwill","usd","48854000000",NA,"2010-12-31"
"27","Goodwill","usd","48188000000",NA,"2011-12-31"
"28","Goodwill","usd","48175000000",NA,"2012-12-31"
"29","Servicing Asset at Fair Value, Amount","usd","15531000000",NA,"2009-12-31"
"30","Servicing Asset at Fair Value, Amount","usd","13649000000",NA,"2010-12-31"
"31","Servicing Asset at Fair Value, Amount","usd","7223000000",NA,"2011-12-31"
"32","Servicing Asset at Fair Value, Amount","usd","7614000000",NA,"2012-12-31"
"33","Other Intangible Assets, Net","usd","4039000000",NA,"2010-12-31"
"34","Other Intangible Assets, Net","usd","3207000000",NA,"2011-12-31"
"35","Other Intangible Assets, Net","usd","2235000000",NA,"2012-12-31"
"36","Other Assets","usd","104131000000",NA,"2011-12-31"
"37","Other Assets","usd","101775000000",NA,"2012-12-31"
"38","Assets","usd","2117605000000",NA,"2010-12-31"
"39","Assets","usd","2265792000000",NA,"2011-12-31"
"40","Assets","usd","2359141000000",NA,"2012-12-31"
"41","Deposits","usd","1127806000000",NA,"2011-12-31"
"42","Deposits","usd","1193593000000",NA,"2012-12-31"
"43","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase","usd","213532000000",NA,"2011-12-31"
"44","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase","usd","240103000000",NA,"2012-12-31"
"45","Commercial Paper","usd","51631000000",NA,"2011-12-31"
"46","Commercial Paper","usd","55367000000",NA,"2012-12-31"
"47","Other Short-term Borrowings","usd","21908000000",NA,"2011-12-31"
"48","Other Short-term Borrowings","usd","26636000000",NA,"2012-12-31"
"49","Trading Liabilities","usd","141695000000",NA,"2011-12-31"
"50","Trading Liabilities","usd","131918000000",NA,"2012-12-31"
"51","Accounts Payable and Accrued Liabilities","usd","202895000000",NA,"2011-12-31"
"52","Accounts Payable and Accrued Liabilities","usd","195240000000",NA,"2012-12-31"
"53","Beneficial Interest Liability","usd","65977000000",NA,"2011-12-31"
"54","Beneficial Interest Liability","usd","63191000000",NA,"2012-12-31"
"55","Long-term Debt","usd","256775000000",NA,"2011-12-31"
"56","Long-term Debt","usd","249024000000",NA,"2012-12-31"
"57","Liabilities","usd","2082219000000",NA,"2011-12-31"
"58","Liabilities","usd","2155072000000",NA,"2012-12-31"
"59","Commitments and Contingencies","usd",NA,NA,"2011-12-31"
"60","Commitments and Contingencies","usd",NA,NA,"2012-12-31"
"61","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","7800000000",NA,"2011-12-31"
"62","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","9058000000",NA,"2012-12-31"
"63","Common Stock, Value, Issued","usd","4105000000",NA,"2011-12-31"
"64","Common Stock, Value, Issued","usd","4105000000",NA,"2012-12-31"
"65","Additional Paid in Capital, Common Stock","usd","95602000000",NA,"2011-12-31"
"66","Additional Paid in Capital, Common Stock","usd","94604000000",NA,"2012-12-31"
"67","Retained Earnings (Accumulated Deficit)","usd","88315000000",NA,"2011-12-31"
"68","Retained Earnings (Accumulated Deficit)","usd","104223000000",NA,"2012-12-31"
"69","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","944000000",NA,"2011-12-31"
"70","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","4102000000",NA,"2012-12-31"
"71","Common Stock Held in Trust","usd","38000000",NA,"2011-12-31"
"72","Common Stock Held in Trust","usd","21000000",NA,"2012-12-31"
"73","Treasury Stock, Value","usd","13155000000",NA,"2011-12-31"
"74","Treasury Stock, Value","usd","12002000000",NA,"2012-12-31"
"75","Stockholders' Equity Attributable to Parent","usd","183573000000",NA,"2011-12-31"
"76","Stockholders' Equity Attributable to Parent","usd","204069000000",NA,"2012-12-31"
"77","Liabilities and Equity","usd","2265792000000",NA,"2011-12-31"
"78","Liabilities and Equity","usd","2359141000000",NA,"2012-12-31"
