"","Metric","Units","Amount","startDate","endDate"
"1","Cash and Due from Banks","usd","26895000000",NA,"2008-12-31"
"2","Cash and Due from Banks","usd","26206000000",NA,"2009-12-31"
"3","Cash and Due from Banks","usd","27567000000",NA,"2010-12-31"
"4","Cash and Due from Banks","usd","59602000000",NA,"2011-12-31"
"5","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","21673000000",NA,"2010-12-31"
"6","Interest-bearing Deposits in Banks and Other Financial Institutions","usd","85279000000",NA,"2011-12-31"
"7","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","222554000000",NA,"2010-12-31"
"8","Federal Funds Sold and Securities Purchased under Agreements to Resell","usd","235314000000",NA,"2011-12-31"
"9","Securities Borrowed","usd","123587000000",NA,"2010-12-31"
"10","Securities Borrowed","usd","142462000000",NA,"2011-12-31"
"11","Trading Assets","usd","489892000000",NA,"2010-12-31"
"12","Trading Assets","usd","443963000000",NA,"2011-12-31"
"13","Securities","usd","316336000000",NA,"2010-12-31"
"14","Securities","usd","364793000000",NA,"2011-12-31"
"15","Loans and Leases Receivable, Net of Deferred Income","usd","692927000000",NA,"2010-12-31"
"16","Loans and Leases Receivable, Net of Deferred Income","usd","723720000000",NA,"2011-12-31"
"17","Loans and Leases Receivable, Allowance","usd","23164000000",NA,"2008-12-31"
"18","Loans and Leases Receivable, Allowance","usd","31602000000",NA,"2009-12-31"
"19","Loans and Leases Receivable, Allowance","usd","32266000000",NA,"2010-12-31"
"20","Loans and Leases Receivable, Allowance","usd","27609000000",NA,"2011-12-31"
"21","Loans and Leases Receivable, Net Reported Amount","usd","660661000000",NA,"2010-12-31"
"22","Loans and Leases Receivable, Net Reported Amount","usd","696111000000",NA,"2011-12-31"
"23","Accrued Interest and Accounts Receivable","usd","70147000000",NA,"2010-12-31"
"24","Accrued Interest and Accounts Receivable","usd","61478000000",NA,"2011-12-31"
"25","Property, Plant and Equipment, Net","usd","13355000000",NA,"2010-12-31"
"26","Property, Plant and Equipment, Net","usd","14041000000",NA,"2011-12-31"
"27","Goodwill","usd","48027000000",NA,"2008-12-31"
"28","Goodwill","usd","48357000000",NA,"2009-12-31"
"29","Goodwill","usd","48854000000",NA,"2010-12-31"
"30","Goodwill","usd","48188000000",NA,"2011-12-31"
"31","Servicing Asset at Fair Value, Amount","usd","9403000000",NA,"2008-12-31"
"32","Servicing Asset at Fair Value, Amount","usd","15531000000",NA,"2009-12-31"
"33","Servicing Asset at Fair Value, Amount","usd","13649000000",NA,"2010-12-31"
"34","Servicing Asset at Fair Value, Amount","usd","7223000000",NA,"2011-12-31"
"35","Other Intangible Assets, Net","usd","4621000000",NA,"2009-12-31"
"36","Other Intangible Assets, Net","usd","4039000000",NA,"2010-12-31"
"37","Other Intangible Assets, Net","usd","3207000000",NA,"2011-12-31"
"38","Other Assets","usd","105291000000",NA,"2010-12-31"
"39","Other Assets","usd","104131000000",NA,"2011-12-31"
"40","Assets","usd","2119673000000",NA,"2009-12-31"
"41","Assets","usd","2117605000000",NA,"2010-12-31"
"42","Assets","usd","2265792000000",NA,"2011-12-31"
"43","Deposits","usd","930369000000",NA,"2010-12-31"
"44","Deposits","usd","1127806000000",NA,"2011-12-31"
"45","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase and Securities Loaned","usd","276644000000",NA,"2010-12-31"
"46","Federal Funds Purchased, Securities Sold Under Agreements to Repurchase and Securities Loaned","usd","213532000000",NA,"2011-12-31"
"47","Commercial Paper","usd","35363000000",NA,"2010-12-31"
"48","Commercial Paper","usd","51631000000",NA,"2011-12-31"
"49","Federal Home Loan Bank Advances And Other Short Term Borrowings","usd","34325000000",NA,"2010-12-31"
"50","Federal Home Loan Bank Advances And Other Short Term Borrowings","usd","21908000000",NA,"2011-12-31"
"51","Trading Liabilities","usd","146166000000",NA,"2010-12-31"
"52","Trading Liabilities","usd","141695000000",NA,"2011-12-31"
"53","Accounts Payable and Accrued Liabilities","usd","170330000000",NA,"2010-12-31"
"54","Accounts Payable and Accrued Liabilities","usd","202895000000",NA,"2011-12-31"
"55","Beneficial Interest Liability","usd","77649000000",NA,"2010-12-31"
"56","Beneficial Interest Liability","usd","65977000000",NA,"2011-12-31"
"57","Long-term Debt","usd","270653000000",NA,"2010-12-31"
"58","Long-term Debt","usd","256775000000",NA,"2011-12-31"
"59","Liabilities","usd","1958828000000",NA,"2009-12-31"
"60","Liabilities","usd","1941499000000",NA,"2010-12-31"
"61","Liabilities","usd","2082219000000",NA,"2011-12-31"
"62","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","7800000000",NA,"2010-12-31"
"63","Preferred Stock, Including Additional Paid in Capital, Net of Discount","usd","7800000000",NA,"2011-12-31"
"64","Common Stock, Value, Issued","usd","4105000000",NA,"2010-12-31"
"65","Common Stock, Value, Issued","usd","4105000000",NA,"2011-12-31"
"66","Additional Paid in Capital, Common Stock","usd","97415000000",NA,"2010-12-31"
"67","Additional Paid in Capital, Common Stock","usd","95602000000",NA,"2011-12-31"
"68","Retained Earnings (Accumulated Deficit)","usd","73998000000",NA,"2010-12-31"
"69","Retained Earnings (Accumulated Deficit)","usd","88315000000",NA,"2011-12-31"
"70","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","1001000000",NA,"2010-12-31"
"71","Accumulated Other Comprehensive Income (Loss), Net of Tax","usd","944000000",NA,"2011-12-31"
"72","Common Stock Held in Trust","usd","53000000",NA,"2010-12-31"
"73","Common Stock Held in Trust","usd","38000000",NA,"2011-12-31"
"74","Treasury Stock, Value","usd","8160000000",NA,"2010-12-31"
"75","Treasury Stock, Value","usd","13155000000",NA,"2011-12-31"
"76","Stockholders' Equity Attributable to Parent","usd","160845000000",NA,"2009-12-31"
"77","Stockholders' Equity Attributable to Parent","usd","176106000000",NA,"2010-12-31"
"78","Stockholders' Equity Attributable to Parent","usd","183573000000",NA,"2011-12-31"
"79","Liabilities and Equity","usd","2117605000000",NA,"2010-12-31"
"80","Liabilities and Equity","usd","2265792000000",NA,"2011-12-31"
"81","Limited Program Wide Credit Enhancement","usd","2000000000",NA,"2010-12-31"
"82","Limited Program Wide Credit Enhancement","usd","3100000000",NA,"2011-12-31"
