"","Metric","Units","Amount","startDate","endDate"
"1","Cash and Due from Banks","USD","40144000000",NA,"2007-12-31"
"2","Cash and Due from Banks","USD","26895000000",NA,"2008-12-31"
"3","Cash and Due from Banks","USD","26206000000",NA,"2009-12-31"
"4","Cash and Due from Banks","USD","27567000000",NA,"2010-12-31"
"5","Interest-bearing Deposits in Banks","USD","63230000000",NA,"2009-12-31"
"6","Interest-bearing Deposits in Banks","USD","21673000000",NA,"2010-12-31"
"7","Federal Funds Sold and Securities Purchased under Agreements to Resell","USD","195404000000",NA,"2009-12-31"
"8","Federal Funds Sold and Securities Purchased under Agreements to Resell","USD","222554000000",NA,"2010-12-31"
"9","Securities Borrowed","USD","119630000000",NA,"2009-12-31"
"10","Securities Borrowed","USD","123587000000",NA,"2010-12-31"
"11","Trading assets","USD","411128000000",NA,"2009-12-31"
"12","Trading assets","USD","489892000000",NA,"2010-12-31"
"13","Securities","USD","360390000000",NA,"2009-12-31"
"14","Securities","USD","316336000000",NA,"2010-12-31"
"15","Customer receivables representing primarily margin loans to prime and retail brokerage","USD","633458000000",NA,"2009-12-31"
"16","Customer receivables representing primarily margin loans to prime and retail brokerage","USD","692927000000",NA,"2010-12-31"
"17","Loans and Leases Receivable, Allowance","USD","9234000000",NA,"2007-12-31"
"18","Loans and Leases Receivable, Allowance","USD","23164000000",NA,"2008-12-31"
"19","Loans and Leases Receivable, Allowance","USD","31602000000",NA,"2009-12-31"
"20","Loans and Leases Receivable, Allowance","USD","32266000000",NA,"2010-12-31"
"21","Loans and Leases Receivable, Net Reported Amount","USD","601856000000",NA,"2009-12-31"
"22","Loans and Leases Receivable, Net Reported Amount","USD","660661000000",NA,"2010-12-31"
"23","Accrued interest and accounts receivable","USD","67427000000",NA,"2009-12-31"
"24","Accrued interest and accounts receivable","USD","70147000000",NA,"2010-12-31"
"25","Property, Plant and Equipment, Net","USD","11118000000",NA,"2009-12-31"
"26","Property, Plant and Equipment, Net","USD","13355000000",NA,"2010-12-31"
"27","Goodwill","USD","45270000000",NA,"2007-12-31"
"28","Goodwill","USD","48027000000",NA,"2008-12-31"
"29","Goodwill","USD","48357000000",NA,"2009-12-31"
"30","Goodwill","USD","48854000000",NA,"2010-12-31"
"31","Other Assets","USD","107091000000",NA,"2009-12-31"
"32","Other Assets","USD","105291000000",NA,"2010-12-31"
"33","Assets, Total","USD","2119673000000",NA,"2009-12-31"
"34","Assets, Total","USD","2117605000000",NA,"2010-12-31"
"35","Deposits","USD","938367000000",NA,"2009-12-31"
"36","Deposits","USD","930369000000",NA,"2010-12-31"
"37","Federal funds purchased, securities sold under agreements to repurchase and securities loaned","USD","261413000000",NA,"2009-12-31"
"38","Federal funds purchased, securities sold under agreements to repurchase and securities loaned","USD","276644000000",NA,"2010-12-31"
"39","Commercial Paper","USD","41794000000",NA,"2009-12-31"
"40","Commercial Paper","USD","35363000000",NA,"2010-12-31"
"41","Federal Home Loan Bank Advances And Other Short Term Borrowings","USD","55740000000",NA,"2009-12-31"
"42","Federal Home Loan Bank Advances And Other Short Term Borrowings","USD","57309000000",NA,"2010-12-31"
"43","Beneficial Interest","USD","15225000000",NA,"2009-12-31"
"44","Beneficial Interest","USD","77649000000",NA,"2010-12-31"
"45","Liabilities, Total","USD","1958828000000",NA,"2009-12-31"
"46","Liabilities, Total","USD","1941499000000",NA,"2010-12-31"
"47","Commitments and Contingencies",NA,NA,"2009-01-01","2009-12-31"
"48","Commitments and Contingencies",NA,NA,"2010-01-01","2010-12-31"
"49","Common Stock, Value, Issued","USD","4105000000",NA,"2009-12-31"
"50","Common Stock, Value, Issued","USD","4105000000",NA,"2010-12-31"
"51","Retained Earnings (Accumulated Deficit)","USD","62481000000",NA,"2009-12-31"
"52","Retained Earnings (Accumulated Deficit)","USD","73998000000",NA,"2010-12-31"
"53","Accumulated Other Comprehensive Income (Loss), Net of Tax","USD","-91000000",NA,"2009-12-31"
"54","Accumulated Other Comprehensive Income (Loss), Net of Tax","USD","1001000000",NA,"2010-12-31"
"55","Common Stock Held In Restricted Stock Unit Trust","USD","-68000000",NA,"2009-12-31"
"56","Common Stock Held In Restricted Stock Unit Trust","USD","-53000000",NA,"2010-12-31"
"57","Treasury Stock, Value","USD","7196000000",NA,"2009-12-31"
"58","Treasury Stock, Value","USD","8160000000",NA,"2010-12-31"
"59","Stockholders' Equity","USD","160845000000",NA,"2009-12-31"
"60","Stockholders' Equity","USD","176106000000",NA,"2010-12-31"
"61","Liabilities and Stockholders' Equity","USD","2117605000000",NA,"2010-12-31"
"62","Intangible Assets Net Excluding Goodwill And Mortgage Servicing Rights M S Rs","USD","4621000000",NA,"2009-12-31"
"63","Intangible Assets Net Excluding Goodwill And Mortgage Servicing Rights M S Rs","USD","4039000000",NA,"2010-12-31"
"64","Servicing Asset at Fair Value, Amount","USD","8632000000",NA,"2007-12-31"
"65","Servicing Asset at Fair Value, Amount","USD","9403000000",NA,"2008-12-31"
"66","Servicing Asset at Fair Value, Amount","USD","15531000000",NA,"2009-12-31"
"67","Servicing Asset at Fair Value, Amount","USD","13649000000",NA,"2010-12-31"
"68","Trading Liabilities","USD","125071000000",NA,"2009-12-31"
"69","Trading Liabilities","USD","146166000000",NA,"2010-12-31"
"70","Long-term Debt","USD","266318000000",NA,"2009-12-31"
"71","Long-term Debt","USD","247669000000",NA,"2010-12-31"
"72","Preferred Stock, Including Additional Paid in Capital, Net of Discount","USD","8152000000",NA,"2009-12-31"
"73","Preferred Stock, Including Additional Paid in Capital, Net of Discount","USD","7800000000",NA,"2010-12-31"
"74","Additional Paid in Capital, Common Stock","USD","97982000000",NA,"2009-12-31"
"75","Additional Paid in Capital, Common Stock","USD","97415000000",NA,"2010-12-31"
"76","Other Liabilities","USD","162696000000",NA,"2009-12-31"
"77","Other Liabilities","USD","170330000000",NA,"2010-12-31"
"78","Limited program wide credit enhancement","USD","2400000000",NA,"2009-12-31"
"79","Limited program wide credit enhancement","USD","2000000000",NA,"2010-12-31"
